companyName,jobTitle,jobUrl,timeFromPosted,longDescription
floware,Senior Penetration Expert/InfoSec-Tester,/it-jobs/senior-penetration-expert-infosec-tester-floware-3332,1 day ago,"Top 3 Reasons To Join UsAttractive salary based on skills and experiencesFree office lunch, coffee, tea and snack everyday13th month bonusThe JobThe Senior Penetration Expert (SPE) is responsible for verifying that our mobile & web applications are secure and to advise our teams how to get there. The role involves performing security assessments, threat modeling, and ethical hacking of our network & applications. The SPE will be producing reports and recommendations about the risk of vulnerabilities identified by security assessments and penetration tests for each product team and to build out security standards and practices to be abided by every developer at Floware.Your Skills and ExperienceSKILLS AND EXPERIENCEExcellent working experience performing security audits and compliance checks, including but not limited to network & application penetration testing, vulnerability scans, and other configuration analysisExpert at TCP/IP and networking conceptsKnowledge of the software development lifecycle and the ability to create and read code in a modern object-oriented programming language (such as Swift, Objective-C, PHP, etc...) and writing SQL scripts and web code (HTML/JavaScript/etc.)Knowledge of penetration testing against a wide variety of application layer platforms, including web, mobile, thick client, and Reverse Engineering, above and beyond running automated toolsStrong understanding of REST API, Security Testing, DAST and SAST toolsAbility to perform both manual and automated code reviewsGeneral understanding of some of the following security tools – Burp Suite, ZAP, SQLMap, SQLNinja, Metasploit, Nessus, Wireshark, nmap, tcpdump, OSINT, Recon-ng, mimikatz, responder, maltego, aircrack-ng, Cain and Abel, JTR, hashcat, hydra, SET, Nikto, dirbuster, golismero, theHarvester, BeEf, Sparta, wfuzzPassionate about information security and privacyWell versed in security issues affecting financial service organizations as well as widespread data center operations, such as cloud and mobile technology solutionsCommitted to an ongoing partnership with other high profile groups within the organization (e.g. software development) to insure information security objectives are being understood and embracedAbility to anticipate problems and recommend decisive actionExcellent communication skills (both written and oral)Ability to work collaboratively across the organizationHUGE PLUS IF YOU ARE/HAVEExcellent working experience working with any technology like Objective-C, PHP, Golang, C++, Javascript, NodeJS, Linux, MySQL, etc...and implementing security standards & best practices for them.Expert experience developing defense systems & mechanisms against cyber attacks.Expert experience in thinking and being ahead of the game for all security matters.Why You'll Love Working HereWe challenge ourselves every day to find better solutions and better ways to do things. We ask difficult questions and work together to solve them. We believe in doing the right things as well as doing things right. We value honesty, hard work, integrity, and transparency. We are committed to transforming people’s lives, will you join us today?COMPENSATION & BENEFITSFriendly, flexible, and fun working environmentVery attractive salary based on skills and experienceFree office lunchCoffee, tea, snack bar everydayFull income tax, insurance paid by company (Net Salary)13th month of salaryGreat opportunity for career developmentCompany trip, team building, monthly party, etc."
alipay-alibaba-group,Sr. QA Engineer (QA QC/Tester/English),/it-jobs/sr-qa-engineer-qa-qc-tester-english-alipay-alibaba-group-4050,1 day ago,"Top 3 Reasons To Join UsFriendly and professional working environment Future career growth Attractive Salary and BenefitsThe JobUnderstand functional and non-functional requirements of software product, design quality assurance and testing strategies for various different products;Contribute to the planning and construction of a product system architecture, assess risks, resolve the design’s testability and address the system stability;Innovate testing tools, testing technologies, testing platform, testing lifecycle of product R&D, improve the testing efficiency;Involved in testing system setup, technology team planning, construction of testing technology platform;Lead and design technology solution and architecture for system integration test, and push solution deployment and implementation;Responsible for the system integration test in product deployment phase of the development lifecycle, ensure product go-live with high quality;Research new technologies and new methods in testing domain, apply and promote them, improve industry influenceYour Skills and ExperienceHave more than 5 years QA and QC experience in internet and traditional industries, went through large scale software development lifecycle, have rich experience in software developmentThorough knowledge of QA theory and methodologyHave systematic mindset and experience in software quality assurance, able to prototype and deploy software quality control strategy for a complex system;Strong analysis and design skills, capable to develop testing framework and integrate solutions; have experience with RESTful API test, performance test, automation test, security test, black box and white box testing;Have experience with programming languages, coding experience and code review, GIT or SVN.Strong logical thinking, willing to explore; taking the ownership, great team player;Effectively communicate issues with stakeholders and propose solutionsMaintain subject matter expertise for the systems under test and use that expertise to create, maintain and extend the test case libraryParticipate in team process improvement to make sure everyone understands development lifecycleGood communication in both Vietnamese and English are mandatory as the role requires working with Vietnamese and international teams.Candidate with strong interest or project experience in internet financial service and technology is preferred.Why You'll Love Working HerePremium healthcare package for you and family.Attractive salary and good benefits will be exchanged directly at the interview;13th month salary, annual salary review;2 -4 months’ salary bonus based on performanceWorking for one of the biggest payment system in the world, co-working with other international finance institution system to deliver the smoothly payment experience to customerOpportunity to frequently travel to China and South East Asia countries every month;Join a young, friendly and dynamic team in an international and professional working environment;Interesting workplace with multi-culture and English communication;Performance review twice a year;Happy hour, team lunch, team building, company trip;15 days full paid leave per year, 8 days sick leave, unlimited admin leave"
shinkawa-vietnam,03 Software Tester (QA QC),/it-jobs/02-software-tester-qa-qc-shinkawa-vietnam-4520,3 days ago,"Top 3 Reasons To Join UsOpportunity for overseas working/trainingGood benefits(13th salary, language allowance)Sport activities(badminton, swimming)The JobAs a member of Testing team, you will represent an effective bridge between business of clients and Software-side implementation.We are looking for Software Tester who will test Software for semiconductor equipment( Wire bonder).As a Software Tester, you are responsible for the following activities:- Review software requirements for testability;- Make test cases based on requirements;- Plan and estimate testing activities;- Perform testing on various types of function;- Bug report and bug trace;- Document test results in a concise and consistent manner.Your Skills and Experience[MUST HAVE]- Bachelor degree in Computer Science /IT or equivalent.- English ability: reading and writing;- Experience in software testing and testing methodologies;- Experience in software development is a PLUS.[LANGUAGE]- English: TOEIC 500 or equivalent- Japanese is a PLUS[PERSONALITY]- Carefulness and creative thinking;- Ability to work individually and in a team under high pressure;- Good team player & sense of teamwork, responsibility, initiative;- Good communication skills.Why You'll Love Working Here- 13th month salary- Lunch and transportation allowance (include parking fee)- Overtime-working allowance- Working hours: 8 hours x 5 days/week (Monday to Friday)- Have annual holidays and social insurance according to Vietnamese Government regulations- Company health checkup: once a year- Salary increase/Bonus: once a year- Total holiday: 117 days/ year( include Sat & Sun)- Bonus for improvement in foreign language skills(TOEIC and Japanese) and language examination fee"
nashtech,"Senior QC Engineer (Tester, QC)",/it-jobs/senior-qc-engineer-tester-qc-nashtech-4111,3 days ago,"Top 3 Reasons To Join Us13th Salary + Yearly Performance BonusPremium Health Insurance PackageIntensive Training ProgramThe JobParticipate in review and analyze the project requirement to understand test objectives, provide input on testability of requirements and estimation for the testing activities.Participate in client meetings to ensure that engagement work products and deliverables are of the highest quality.Develop the test plan, test strategy.Assist in the planning, creation and control of the test environment(s)Develop manual test cases and prioritize testing activities.Execute all the manual test case, performance test and report defects, define severity and priority for each defect.Prepare the reports related to software testing carried out.Ensure that all tested related work is carried out as per the defined standards and procedures.Transfer knowledge, monitor engagement team performance, and provide the feedback on the team.Monitor and coach junior QCs to work in the projects.Your Skills and ExperienceDesired skills and experience:University level with bachelor’s degree in computer science.Have 3+ years of experience in software testing.Good software testing knowledge.Strong communication skillsAttention to detailAnalytical mind and strong problem-solvingHave a proactive and good working relationship with other team members.Good knowledge in automation test, performance test and security test.Able to manage team of 3+ people.Nice to Have:ISTQB/ISEB Certificate or equivalence.Experience in working with agile/scrum methodology.Strong leadershipWhy You'll Love Working HereJoining Bonus for candidates who join NashTech before 16th January, 202013 month salary per yearPerformance bonus (up to 2-month salary)Flexible option bonus for good performers & retention bonus for outstanding performersSocial – Health – Insurance paid fullyHealthcare: Annual health check-up, Premium Health Insurance (plus 1 slot for your dependent)Annual leaves: 14 ~ 18 daysClubs program: Football, Badminton, Swimming, Tennis, Rock, Yoga…Training courses: Technical skills – Soft skills – EnglishPeople are extremely important to us and that’s why we have a clear vision: to make NashTech a great place to work in its sector. We pride ourselves on:Professional and Flexible Working EnvironmentGreat TeamworkInternational AssignmentsWeCare - WeShare - WeDare - WeInnovate Engagement Program "
lhv-software,"Software QA Engineer (Tester, QA QC) ",/it-jobs/software-qa-engineer-tester-qa-qc-lhv-software-5946,3 days ago,"Top 3 Reasons To Join UsAttractive salary and quarterly recognition bonus.Health care, PVI insurance, 15 days annual leaves.Flexible working time, offer English & IT courses.The Job* Install, configure and maintain the software test environment.* Design, develop and execute test cases on component/integration and e2e level to ensure product quality.* Write and maintain clear, precise bug reports to submit to the bug tracking system.* Create test documentation in support of manual exploratory testing.* Do manual testing (including design test cases, execute test in web app, mobile web & application (Android & iOS).* Work with development teams to reproduce and resolve problems.* Estimate time required to complete the testing plan.* Analyze defects and test results to be able to deduct the chain of events leading to a failure.* Contribute to continuous quality assurance improvement.Your Skills and Experience* 1+ years of software development and testing experience.* A degree in computer science, engineering, or equivalent experience* Experience in clarifying feature requirements with PMs, developers and businesses in a very dynamic and fast paced environment.* Ability to perform system-wide root cause analyses and drive improvements.* Ability to influence and drive quality across teams, locations and organizations.* Good understanding of relational database design and transactional SQL and DBMS (Oracle, MSSQL).* Experience on Jira, Agile methodology is preferred* Experience on API Testing is preferred* Good English skills in reading, writing and speaking.* Excellent logical thinking ability, good problem solving, collaboration, and communication skills.* Be active and willing to learn and adapt to new technologies.Why You'll Love Working Here1. Learning & DevelopmentWe provide opportunities for you to develop within our organisation. We design training programs that meet your needs and organisation's need. We also contribute cost to English and IT courses/certificates.2. Pleasure EnvironmentWe create friendly working environment with flexible working time and competitive salary. You can attend various team building activities, such as, party, sport, picnic, etc. with cost contribution from organisation.3. Recognition & RewardsIn addition to base salary, we recognise our outstanding performers through various incentive arrangements that apply across the business. It's our way of saying thank you for consistently being driven and positive. Attractive salary and quarterly recognition bonus.13th salary is paid before Lunar New Year.English and IT courses.Sport cost for employee (football, swimming, table tennis, badminton etc.)Overseas/Domestic Company trip, and regular team building activities.Flexible working time, 2 days/month work from home15 days annual leaves, working Monday - Friday.Premium health care & insurance programs.Annual health check-up."
precio-fishbone-vietnam,Tester (QA QC) ,/it-jobs/junior-testers-qa-qc-precio-fishbone-vietnam-0233,4 days ago,"Top 3 Reasons To Join UsAttractive salary and benefitsFlexible Working HoursTraining/ Onsite in EuropeThe JobWe are in the frontline of advanced Office365, Azure, Web and SharePoint development for global companies. We are also delivering products built on top of the said technologies.You will receive extensive training including an education package with trips to Europe for up to two months.Precio Fishbone Vietnam is looking for Testers (QA/QC) as follows:As we expand our product development our need for structured tests and tests processes increase. You will be part of an international team, consisting of both Vietnamese and international staff. We focus on an interactive way of working, so tight daily communication with all team members are essential. All documentation and communication are made in English.Your responsibilities:Master tools and integrations needed for smooth collaboration with the product development process;Write and communicate test reports in English targeting international staff outside of the product team;Perform testing;Communicate with team members across country borders to discuss and resolve project issues;Be a creative and positive member of the team.Your Skills and ExperienceGood communication in English in both speaking and writing;CV in English.Nice to haveRelevant University degree;Experience in testing large end user web applications;Experience in automated deployments using tools such as VSTS or TeamCity;Experience in automated testing;Experience from agile projects such as Scrum;Experience using SharePoint online, 2016, 2019 and O365;Programming skills in .NET.Why You'll Love Working HereWhen working at Precio you will be part of talented and ambitious, highly skilled development teams in a professional and dynamic working environment. We offer:Competitive remuneration packageExtensive training program including an education package with trips to Europe (Sweden, Denmark…)Flexible time (Working time from Monday to Friday)13th month salaryAnnual leaves up to 17 days and is increased for every 5 years of seniorityPeriodical health check-upCompulsory insurance under Vietnamese LawCorporate healthcare insurance (health and accident 24/24 insurance, includes family)Company Trip (twice/year)Monthly activities such as Birthday FIKA, Family Day, Midsummer, Halloween Party, Christmas Party, Year-end Party, etc.Sponsor sport activities, free fruits, coffee, cocoa, milk, tea...Extra benefits from Trade Union Fund (gifts on Birthday, Lunar New Year, Wedding, giving birth, etc.)"
nakivo,Junior QA Engineer (Manual Tester),/it-jobs/junior-qa-engineer-manual-tester-nakivo-1904,4 days ago,"Top 3 Reasons To Join UsPremium health care checkPrivate health careExtra benefits up to 350 USDThe JobResponsibilities:Study product features and technologiesCreate test cases for new featuresUpdate test cases for old features due to requirement changesExecute test following test planReport bugs with detailed informationDo bug verificationQuality bug severity and priorityReport on task progressProvide task estimationWork closely with cross-functioning teams within the company (QA, Dev, Support, Sales, Product, etc.) to deliver best product qualityYour Skills and ExperienceRequirements:1+ year of experience in software testingKnowledge of software development life cycle (SDLC)Knowledge of testing methodologies and conceptsAbility to create, update test cases and perform requirements traceability to ensure test coverageAbility to conduct the test including smoke test, regression test, performance test, bug verification, etc.Ability to effectively manage time and individually prioritize multiple tasks of competing priorityExperience in Bug Tracking, Test Management ToolsStrong capacity to learn new business and systemsGood logical thinking, communication and analysis skillsIntermediate English skillsRequired Qualifications:Bachelor Degree of Computer Science/ Technical FieldsDesired Qualifications:Knowledge of Computer Network, Cloud Computing, Virtualization, LinuxExperience in automation test especially web testing with SeleniumPrevious experience of working in international company is a plusWhy You'll Love Working HereAt Nakivo, we are offering employees with young, dynamic and flat organization chart, where your ideas can instantly reach your team leader or even CEO just by clicks. Nakivo Vietnam has been changing very fast in the recently years, we have grown from a group of 6 engineers to the current team size of 35 and we are expecting to grow even more in the next following years. We welcome and embrace people, regardless to their background, religion, nationality and gender, but focus in diversity, contribution, determination and work ethic. At Nakivo, we are trying to improve everyday, to become competitive choices for talented people, by offeringFlexible working hours: Office opens from 8.00 AM to 8.00 PMPrivate health care packagePremium health care checkGift (cash/voucher) for every special occasion: New Year's Eve, Tet holidays, International Women's Day, International Children's Day, Mid-Autumn Festival and BirthdayUp to 15 annual leaves/year and additional leaves (up to 3 days)Team buildingFree and un-limited snack, tea, coffee and by-choice request."
hansencx,Manual Tester (QA QC) - Sign on bonus,/it-jobs/manual-tester-qa-qc-sign-on-bonus-hansencx-5921,4 days ago,"Top 3 Reasons To Join UsGlobal Company- Develop Your Career & EnglishEmployees Shares Bonus and 13th Month Salary Free Lunch & Free Snacks/DrinksThe JobHansen Technologies is a global CIS/BSS provider servicing the Utilities, Pay TV and Telecommunications industries. We have 31 global offices and deliver billing solutions to customers in 80 countries.  As a growing company we are looking for highly motivated individuals who can grow with the company’s products and services while contributing to our wider goal of acting as a valued customer partner.We are currently recruiting for a Manual Tester to be part of the QA team and be responsible for identifying test requirements based on business requirements or other requirements as requested. Be responsible for developing test suits, developing test cases, executing testing for clients projects, BU projects, BAU, Integration projects or other piece of work as required in an Agile environment. You  will work with product experts located in other countries, particularly Australia and UK.Duties and ResponsibilitiesContribute to Agile meetings (stand-up, planning, reviews, etc) to understand user stories and acceptance criteriaWrite and execute test scenarios to ensure acceptance criteria are metEvaluate test results and accurately record defectsWork within Agile sprint teams to conduct component and system level testingSupport engineers to design testable softwareEnsure quality standards and procedures are followed at all timesProduce clear and concise testing documentation ​Your Skills and ExperienceEssentialGood English written and verbalProfessional communication skills, including familiarity with collaboration tools (e.g. Skype, MS Offfice)Ability to work flexible hours, particularly earlier in the day (cross-over with UK / Australia time-zones)Minimum 24 months of commercial experience with software testingStrong analytical skills; ability to understand complex processes with rigorous attention to detailDesirableExperience with story management and testing tools (e.g. Jira, Zephyr)Please note: Salary on offer may vary according to your experience and skill level.Why You'll Love Working Here13th - month salaryHansenCX is listed on the Australian stock exchange market so all employees receive shares bonus.Professionally challenging jobs in a dynamic industry. Excellent career opportunities in a growing global companyUpgrading healthcare for employee and family. Also, free comprehensive annual check-up for employee and possibly family.Free snacks/drinksFree lunch12 days annual leave – increase to 15 days annual leave after 1 year of service12 days sick leaveAn informal international work environment. Highly skilled colleagues to learn from both locally and globally.A company culture characterized by a sense of humour, commitment and ownershipGlobal company that will develop your IT career and English skillsInternal learning and development platform with courses for personal developmentNew and modern and offices and free scooter parking in District 2 – have cool open atmosphere with outdoor café and recreation area.Company sponsored trip and events"
minerva-technology-solutions,QA QC Engineer (Tester),/it-jobs/qa-qc-engineer-tester-minerva-technology-solutions-2321,4 days ago,"Top 3 Reasons To Join UsCơ hội phát triểnCơ hội được đào tạo tại HongkongLương thưởng theo dự ánThe JobMINERVA TECHNOLOGY SOLUTIONS JSC là công ty cung cấp các giải pháp tổng thể dựa trên công nghệ Internet of Things (IoT) cho các lĩnh vực như nông nghiệp, du lịch, bán lẻ và bất động sản. MINERVA cũng chuyên về Phân tích/xử lý dữ liệu lớn – Big Data/Analytics và Trí Tuệ Nhân tạo – Machine Learning + Artificial Intelligent cho phép xây dựng các hệ thống hỗ trợ quyết định mạnh mẽ và hiệu quả kinh tế cho các cơ quan Chính phủ, thành phố và các ngành công nghiệp.Chúng tôi đang cần tuyển vị trí QA QC Engineer:Công việc QC Xây dựng hệ thống test case cho sản phẩm và tiến hành test cho sản phẩm theo đúng test case và theo quy trình hoạt động của phần mềm để tìm lỗi.Quản lý phân tích và theo dõi các báo cáo cập nhật mới về hệ thống và các báo cáo kết quả kiểm tra tương ứng.Sử dụng các ngôn ngữ lập trình (Python, Java) hoặc các tool để testing tự động hệ thốngĐề xuất phương án xử lý với Lập trình viên trong trường hợp bị lỗi.Báo cáo với QA và DEV về kết quả mỗi lần kiểm thửCông việc QA:Phối hợp với BA và Ban dự án để hiểu rõ quy trình vận hành của hệ thống.Phối hợp với BA để giám sát hệ thống đảm bảo đúng quy trình vận hành và cầu kỹ thuật của khách hàngPhối hợp với BA để tư vấn cho khách hàng để tìm ra các giải pháp tối ưu hóa chất lượng sản phẩm, tránh gây hiểu nhầm không đáng có.Phối hợp với QC trong việc kiểm thử phần mềmThu nhận ý kiến của khách hàng về hệ thống.Trong trường hợp có phát sinh về thay đổi hệ thống phối hợp với BA và Team Dev để tìm giải phápViết tài liệu mô tả cho bộ phận lập trình - tester.Tham gia vào quá trình training hệ thống cho khách hàng.Theo dõi tiến độ dự án, quản lý các task trong dự án đang theo dõi đảm bảo đúng tiến độ, Phối hợp với các Leader bên bộ phân DEV để giải quyết các task đang bị treo. quán thời gianPhối hợp với các phòng ban để tiến hành chạy demo, release hệ thống cho khách hàng.Your Skills and ExperienceỨng viên từ: 1 năm kinh nghiệmTốt nghiệp Cao đẳng/Đại học chuyên ngành: Công Nghệ Thông Tin, Công Nghệ Phần Mềm.Cẩn thận, tỉ mỉ, trung thực,Được đào tạo và có nền tảng về IT và lập trình.Hiểu biết về kiến trúc hệ thống của phần mềm hoặc APPKhả năng tổ chức, tư duy logic và có hệ thống.Kỹ năng phân tích về các vấn đề hệ thống thống.Kiến thức rộng về các lĩnh vực của phần mềm mà các team đang thực hiện.Kỹ năng giao tiếp trong nội bộ team và các team khác cũng như khách hàng để mô tả về sản phẩm, và quy trình hệ thống.Ưu tiên:Ứng viên có khả năng học hỏi nhanhCó kiến thức và kinh nghiệm liên quan đến: ERP, CRM, E-Commerce or mobile apps là lợi thế rất lớnCó tư duy tốt về phân tích hệ thốngAm hiểu về một số quy trình nghiệp vụ như: quản lý hàng hóa, quản trị bán hàng (bán lẻ, bán sỉ), chuỗi cung ứng, kế toán, …Có khả năng làm việc dưới áp lực caoCó kỹ năng tổ chức và phân tích tốt với trình độ kỹ thuật caoWhy You'll Love Working HereThu nhập theo thỏa thuận, tùy theo năng lựcCó cơ hội được trao đổi, học tập với các đối tác công nghệ hàng đầu tại MINERVA – Đại học MIT, Đại học Công nghệ HongKong.Thưởng theo dự án tham giaỨng viên mới ra trường, chưa có kinh nghiệm sẽ được đào tạo thêm khi được nhận.Được tiếp cận công nghệ Big Data, Machine Learning, IoT.Được thực hiện các dự án quốc gia, quốc tế về lĩnh vực nông nghiệp.Được tham gia các khóa đào tạo chuyên môn.Được hưởng đầy đủ các chính sách BHXH, BHYT, BHTN.Được hưởng lương tháng 13Du lịch hằng năm cùng công ty, các hoạt động teambuilding."
axon,QA Automation Engineer (Tester),/it-jobs/qa-automation-engineer-tester-axon-4109,5 days ago,"Top 3 Reasons To Join Us Awesome work environmentAwarded Best Office DesignUS trainingThe JobOur mission is to protect life.We’re out to make the world a safer place by solving big problems and taking on the public safety challenges of our time. From our company's inception building the TASER device to a full suite of hardware and software solutions, we are focused on providing police agencies with the state-of-the-art devices and services they need to successfully serve and protect us. In the next few years, we're going to eliminate the burden of paperwork in policing, so officers can increase the time they spend building relationships and serving in their communities. We’ll put video at the heart of the police record so our justice system can get to the truth faster. And we won't stop innovating until the bullet is rendered obsolete.It’s a big mission, but it’s one we’ll pursue relentlessly every single day.Your Day-to-dayDevelop automation test framework to increase the test coverage for end to end test, smoke test, functional test and regression testExecute manual testing when we have any issue in the development processProvide the solutions and experience to improve the quality processHandle CI/CD tools like Teamcity or JenkinsYour Skills and ExperienceBasic QualificationsHave 1-5 years of experience in automation testingExperience in scripting like bash shellExperience in UI test automation tools (Selenium WebDriver, Spectron, Appium, Espresso or similar), API testing (using SoapUI, Postman or similar)Familiarity with version control, bug tracking (Jira), CI/CD systems (Teamcity or Jenkins) and proceduresComfortable with Linux, MacOS, WindowsStrong communication skills in English and VietnamesePreferred QualificationsExperience in PythonExperience with Scala or Golang or RubyExperience in SaucelabsExperience with CucumberWhy You'll Love Working HereAn awesome office/working environment with the latest technologies and work with top engineers in the worldCompetitive salary and benefits including a great medical insurance planFun team activities and outingsFlexible working hoursOpportunities for training in the USOpportunities to ride along with real US police officers in real life situations, see them use technology, and get inspiredWe are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status."
